,curp,inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
112,edgarguzmanvaldez,egv_puebla,edgarguzmanvaldez_puebla,Edgar Guzman Valdez,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1992-04-19,Puebla,Distrito:7,SI,PES,Humanidades,,,,
113,ediltrudisrodriguezarellano,era_tabasco,ediltrudisrodriguezarellano_tabasco,Ediltrudis Rodriguez Arellano,Licenciatura,Diputada Propietario,Representacion proporcional,1954-06-23,Tabasco,Circunscripcion:3,SI,MORENA,Ciencias de la educación,,,,
114,edithgarciarosales,egr_veracruz,edithgarciarosales_veracruz,Edith Garcia Rosales,No disponible,Diputada Propietario,Representacion proporcional,1992-10-17,Veracruz,Circunscripcion:3,SI,MORENA,,,,,
115,edithmarisolmercadotorres,emmt_mexico,edithmarisolmercadotorres_mexico,Edith Marisol Mercado Torres,Maestría,Diputada Propietario,Representacion proporcional,1986-09-15,Mexico,Circunscripcion:5,SI,MORENA,Otra,,,,
116,eduardoronramos,err_jalisco,eduardoronramos_jalisco,Eduardo Ron Ramos,Licenciatura,Diputado Propietario,Mayoria Relativa,1975-02-24,Jalisco,Distrito:1,NO,MC,,,,,
117,eduardozarzosasanchez,ezs_mexico,eduardozarzosasanchez_mexico,Eduardo Zarzosa Sanchez,Maestría,Diputado Propietario,Mayoria Relativa,1973-12-16,Mexico,Distrito:9,SI,PRI,,,,,
118,efrainrochavega,erv_chihuahua,efrainrochavega_chihuahua,Efrain Rocha Vega,Licenciatura,Diputado Propietario,Representacion proporcional,1955-05-12,Chihuahua,Circunscripcion:1,SI,MORENA,Ingeniería,,,,
119,elbalorenatorresdiaz,eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Elba Lorena Torres Diaz,Licenciatura,Diputada Propietario,Mayoria Relativa,1977-03-15,Aguascalientes,Distrito:2,SI,PT,Ciencias de la salud,,,,
120,eleuterioarrietasanchez,eas_veracruz,eleuterioarrietasanchez_veracruz,Eleuterio Arrieta Sanchez,Maestría,Diputado Propietario,Mayoria Relativa,1955-05-02,Veracruz,Distrito:13,SI,MORENA,Ciencias de la salud,,,,
121,emeteriaclaudiamartinezaguilar,ecma_chiapas,emeteriaclaudiamartinezaguilar_chiapas,Emeteria Claudia Martinez Aguilar,Licenciatura,Diputada Propietario,Representacion proporcional,1985-03-03,Chiapas,Circunscripcion:3,SI,MORENA,Psicología,,,,
122,emiliomanzanillatellez,emt_mexico,emiliomanzanillatellez_mexico,Emilio Manzanilla Tellez,Licenciatura,Diputado Propietario,Mayoria Relativa,1971-04-10,Mexico,Distrito:16,SI,PT,Ciencias políticas y sociales,,,,
123,emmanuelreyescarmona,erc_guanajuato,emmanuelreyescarmona_guanajuato,Emmanuel Reyes Carmona,Licenciatura,Diputado Propietario,Mayoria Relativa,1987-06-29,Guanajuato,Distrito:13,SI,MORENA,Derecho,,,,
124,enriqueochoareza,eor_michoacan,enriqueochoareza_michoacan,Enrique Ochoa Reza,Doctorado,Diputado Propietario,Representacion proporcional,1972-09-01,Michoacan,Circunscripcion:5,SI,PRI,Ciencias políticas y sociales,,,,
125,eracliorodriguezgomez,erg_chihuahua,eracliorodriguezgomez_chihuahua,Eraclio Rodriguez Gomez,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1961-01-04,Chihuahua,Distrito:7,SI,PT,,,,,
126,erasmogonzalezrobledo,egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Erasmo Gonzalez Robledo,Maestría,Diputado Propietario,Mayoria Relativa,1972-06-28,Tamaulipas,Distrito:7,SI,MORENA,Ciencias políticas y sociales,,,,
127,erikisaacmoraleselvira,eime_baja california,erikisaacmoraleselvira_baja california,Erik Isaac Morales Elvira,No disponible,Diputado Propietario,Mayoria Relativa,1976-09-01,Baja California,Distrito:7,SI,MORENA,,,,,
128,erikamarianarosasuribe,emru_sinaloa,erikamarianarosasuribe_sinaloa,Erika Mariana Rosas Uribe,Licenciatura,Diputada Propietario,Representacion proporcional,1984-01-09,Sinaloa,Circunscripcion:1,SI,MORENA,Comunicación,,,,
129,erikavanessadelcastilloibarra,evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Erika Vanessa Del Castillo Ibarra,Licenciatura,Diputada Propietario,Mayoria Relativa,1978-06-10,Ciudad de Mexico,Distrito:1,SI,MORENA,Ciencias políticas y sociales,,,,
130,ernestoalfonsorobledoleal,earl_nuevo leon,ernestoalfonsorobledoleal_nuevo leon,Ernesto Alfonso Robledo Leal,Doctorado,Diputado Propietario,Mayoria Relativa,1976-06-06,Nuevo Leon,Distrito:11,SI,PAN,,,,,
131,ernestoruffoappel,egra_baja california,ernestoguillermoruffoappel_baja california,Ernesto Ruffo Appel,Licenciatura,Diputado Propietario,Representacion proporcional,1952-06-25,Baja California,Circunscripcion:1,NO,PAN,Administración y contaduría,,,,
132,ernestojaviernemeralvarez,ejna_mexico,ernestojaviernemeralvarez_mexico,Ernesto Javier Nemer Alvarez,Licenciatura,Diputado Propietario,Representacion proporcional,1961-07-17,Mexico,Circunscripcion:5,NO,PRI,,,,,
133,ernestovargascontreras,evc_nuevo leon,ernestovargascontreras_nuevo leon,Ernesto Vargas Contreras,Pasante/Licenciatura trunca,Diputada Propietario,Mayoria Relativa,1977-03-06,Nuevo Leon,Distrito:8,NO,PES,,,,,
134,esmeraldadelosangelesmorenomedina,edlamm_mexico,esmeraldadelosangelesmorenomedina_mexico,Esmeralda de los Angeles Moreno Medina,Maestría,Diputada Propietario,Mayoria Relativa,1986-12-19,Mexico,Distrito:26,SI,PES,Derecho,,,,
135,estebanbarajasbarajas,ebb_michoacan,estebanbarajasbarajas_michoacan,Esteban Barajas Barajas,Licenciatura,Diputado Propietario,Mayoria Relativa,1959-01-20,Michoacan,Distrito:2,SI,MORENA,Ciencias políticas y sociales,,,,
136,estelanuñezalvarez,ena_tabasco,estelanunezalvarez_tabasco,Estela Nuñez Alvarez,Licenciatura,Diputada Propietario,Mayoria Relativa,1956-08-16,Tabasco,Distrito:1,SI,MORENA,Ciencias de la educación,,,,
137,eulaliojuanriosfararoni,ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Eulalio Juan Rios Fararoni,Licenciatura,Diputado Propietario,Mayoria Relativa,1965-04-18,Veracruz,Distrito:20,SI,MORENA,,,,,
138,evaristoleninperezrivera,elpr_coahuila,evaristoleninperezrivera_coahuila,Evaristo Lenin Perez Rivera,Maestría,Diputado Propietario,Mayoria Relativa,1966-10-28,Coahuila,Distrito:1,SI,SinPartido,Comunicación,,,,
139,fabiolaraquelguadalupeloyahernandez,frglh_jalisco,fabiolaraquelguadalupeloyahernandez_jalisco,Fabiola Raquel Guadalupe Loya Hernandez,Licenciatura,Diputada Propietario,Mayoria Relativa,1974-11-05,Jalisco,Distrito:6,SI,MC,Administración y contaduría,,,,
140,felicianofloresanguiano,ffa_michoacan,felicianofloresanguiano_michoacan,Feliciano Flores Anguiano,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1971-05-28,Michoacan,Distrito:1,SI,MORENA,Ciencias de la educación,,,,
141,felipefernandomaciasolvera,ffmo_queretaro,felipefernandomaciasolvera_queretaro,Felipe Fernando Macias Olvera,Maestría,Diputado Propietario,Mayoria Relativa,1986-04-04,Queretaro,Distrito:4,SI,PAN,Ciencias políticas y sociales,,,,
142,feliperafaelarvizudelaluz,fradll_mexico,feliperafaelarvizudelaluz_mexico,Felipe Rafael Arvizu De La Luz,Maestría,Diputado Propietario,Mayoria Relativa,1974-09-09,Mexico,Distrito:12,SI,MORENA,Administración y contaduría,,,,
143,fernandodonatodelasfuenteshernandez,fddlfh_coahuila,fernandodonatodelasfuenteshernandez_coahuila,Fernando Donato De las Fuentes Hernandez,,Diputado Propietario,Mayoria Relativa,1960-08-07,Coahuila,Distrito:7,SI,PRI,,,,,
144,fernandogalindofavela,fgf_ciudad de mexico,fernandogalindofavela_ciudad de mexico,Fernando Galindo Favela,Licenciatura,Diputado Propietario,Representacion proporcional,1978-05-06,Ciudad de Mexico,Circunscripcion:4,SI,PRI,Económico-financiera,,,,
145,fernandoluismanzanillaprieto,flmp_puebla,fernandoluismanzanillaprieto_puebla,Fernando Luis Manzanilla Prieto,Maestría,Diputado Propietario,Mayoria Relativa,1968-05-10,Puebla,Distrito:12,SI,PES,Ciencias políticas y sociales,,,,
146,fernandotorresgraciano,ftg_guanajuato,fernandotorresgraciano_guanajuato,Fernando Torres Graciano,Maestría,Diputado Propietario,Representacion proporcional,1970-08-27,Guanajuato,Circunscripcion:2,SI,PAN,Derecho,,,,
147,florivonemoralesmiranda,fimm_ciudad de mexico,florivonemoralesmiranda_ciudad de mexico,Flor Ivone Morales Miranda,Maestría,Diputada Propietario,Mayoria Relativa,1968-10-05,Ciudad de Mexico,Distrito:21,NO,MORENA,,,,,
148,florataniacruzsantos,ftcs_veracruz,florataniacruzsantos_veracruz,Flora Tania Cruz Santos,Maestría,Diputada Propietario,Mayoria Relativa,1978-01-27,Veracruz,Distrito:11,SI,MORENA,Ciencias de la educación,,,,
149,fortunatoriveracastillo,frc_hidalgo,fortunatoriveracastillo_hidalgo,Fortunato Rivera Castillo,Licenciatura,Diputado Propietario,Mayoria Relativa,1955-11-17,Hidalgo,Distrito:1,SI,MORENA,Otra,,,,
150,franciscoelizondogarrido,feg_nuevo leon,franciscoelizondogarrido_nuevo leon,Francisco Elizondo Garrido,Maestría,Diputado Propietario,Representacion proporcional,1982-01-17,Nuevo Leon,Circunscripcion:2,SI,MORENA,Derecho,,,,
151,franciscofavelapeñuñuri,ffp_mexico,franciscofavelapenunuri_mexico,Francisco Favela Peñuñuri,Licenciatura,Diputado Propietario,Mayoria Relativa,1955-04-15,Mexico,Distrito:5,SI,PT,Ciencias de la salud,,,,
152,franciscojavierborregoadame,fjba_coahuila,franciscojavierborregoadame_coahuila,Francisco Javier Borrego Adame,Técnico,Diputado Propietario,Mayoria Relativa,1954-12-27,Coahuila,Distrito:2,SI,MORENA,Administración y contaduría,,,,
153,franciscojavierguzmandelatorre,fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Francisco Javier Guzman De La Torre,Secundaria,Diputado Propietario,Representacion proporcional,1944-08-29,Jalisco,Circunscripcion:1,SI,MORENA,,,,,
154,franciscojavierhuacusesquivel,fjhe_michoacan,franciscojavierhuacusesquivel_michoacan,Francisco Javier Huacus Esquivel,Licenciatura,Diputado Propietario,Mayoria Relativa,1986-08-26,Michoacan,Distrito:12,SI,PT,,,,,
155,franciscojavierluevanonuñez,fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Francisco Javier Luevano Nuñez,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1979-07-01,Aguascalientes,Distrito:1,SI,PAN,Arquitectura y diseño,,,,
156,franciscojavierramireznavarrete,fjrn_mexico,franciscojavierramireznavarrete_mexico,Francisco Javier Ramirez Navarrete,Licenciatura,Diputado Propietario,Representacion proporcional,1988-01-03,Mexico,Circunscripcion:5,SI,MORENA,Otra,,,,
157,franciscojaviersaldivarcamacho,fjsc_ciudad de mexico,franciscojaviersaldivarcamacho_ciudad de mexico,Francisco Javier Saldivar Camacho,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1967-03-12,Ciudad de Mexico,Distrito:17,SI,PES,Administración y contaduría,,,,
158,fridaalejandraesparzamarquez,faem_zacatecas,fridaalejandraesparzamarquez_zacatecas,Frida Alejandra Esparza Marquez,Licenciatura,Diputada Propietario,Representacion proporcional,1996-11-05,Zacatecas,Circunscripcion:2,SI,PRD,Humanidades,,,,
159,frinneazuarayarzabal,fay_san luis potosi,frinneazuarayarzabal_san luis potosi,Frinne Azuara Yarzabal,Maestría,Diputada Propietario,Representacion proporcional,1956-03-03,San Luis Potosi,Circunscripcion:2,SI,PRI,Ciencias de la salud,,,,
160,gabrielacuevasbarron,gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Gabriela Cuevas Barron,Pasante/Licenciatura trunca,Diputada Propietario,Representacion proporcional,1979-04-03,Ciudad de Mexico,Circunscripcion:4,NO,MORENA,Ciencias políticas y sociales,,,,
161,geraldinaisabelherreravega,gihv_jalisco,geraldinaisabelherreravega_jalisco,Geraldina Isabel Herrera Vega,Licenciatura,Diputada Propietario,Mayoria Relativa,1963-04-24,Jalisco,Distrito:10,SI,MC,Económico-financiera,,,,
162,gerardofernandeznoroña,gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Gerardo Fernandez Noroña,Licenciatura,Diputado Propietario,Mayoria Relativa,1960-03-19,Ciudad de Mexico,Distrito:4,SI,PT,Ciencias políticas y sociales,,,,
163,gloriaromeroleon,grl_hidalgo,gloriaromeroleon_hidalgo,Gloria Romero Leon,Maestría,Diputada Propietario,Representacion proporcional,1964-01-25,Hidalgo,Circunscripcion:5,SI,PAN,Ciencias políticas y sociales,,,,
164,gonzaloherreraperez,ghp_michoacan,gonzaloherreraperez_michoacan,Gonzalo Herrera Perez,Licenciatura,Diputado Propietario,Mayoria Relativa,1955-07-07,Michoacan,Distrito:7,SI,MORENA,,,,,
165,gracielasanchezortiz,gso_mexico,gracielasanchezortiz_mexico,Graciela Sanchez Ortiz,Licenciatura,Diputada Propietario,Mayoria Relativa,1959-02-18,Mexico,Distrito:21,SI,MORENA,Ciencias políticas y sociales,,,,
166,gracielazavaletasanchez,gzs_oaxaca,gracielazavaletasanchez_oaxaca,Graciela Zavaleta Sanchez,Primaria,Diputada Propietario,Representacion proporcional,1946-12-23,Oaxaca,Circunscripcion:3,SI,MORENA,,,,,
167,gregorioefrainespadasmendez,geem_tabasco,gregorioefrainespadasmendez_tabasco,Gregorio Efrain Espadas Mendez,Licenciatura,Diputado Propietario,Mayoria Relativa,1948-10-26,Tabasco,Distrito:3,NO,MORENA,,,,,
168,guadaluperamossotelo,grs_ciudad de mexico,guadaluperamossotelo_ciudad de mexico,Guadalupe Ramos Sotelo,Técnico,Diputada Propietario,Mayoria Relativa,1974-02-01,Ciudad de Mexico,Distrito:24,SI,MORENA,Ciencias de la salud,,,,
169,guadaluperomoromo,grr_jalisco,guadaluperomoromo_jalisco,Guadalupe Romo Romo,Secundaria,Diputado Propietario,Mayoria Relativa,1962-03-22,Jalisco,Distrito:3,SI,PAN,,,,,
170,gustavocontrerasmontes,gcm_mexico,gustavocontrerasmontes_mexico,Gustavo Contreras Montes,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1980-06-11,Mexico,Distrito:8,SI,MORENA,Administración y contaduría,,,,
171,hectorguillermodejesusjimenezymeneses,hgdjjym_puebla,hectorguillermodejesusjimenezymeneses_puebla,Hector Guillermo de Jesus Jimenez y Meneses,Licenciatura,Diputado Propietario,Mayoria Relativa,1945-11-24,Puebla,Distrito:13,SI,MORENA,,,,,
172,hectorjoelvillegasgonzalez,hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Hector Joel Villegas Gonzalez,Licenciatura,Diputado Propietario,Mayoria Relativa,1979-05-09,Tamaulipas,Distrito:3,SI,PES,,,,,
173,hectorrenecruzaparicio,hrca_baja california,hectorrenecruzaparicio_baja california,Hector Rene Cruz Aparicio,Maestría,Diputado Propietario,Mayoria Relativa,1982-12-27,Baja California,Distrito:8,SI,PES,,,,,
174,hectorserranocortes,hsc_ciudad de mexico,hectorserranocortes_ciudad de mexico,Hector Serrano Cortes,Maestría,Diputado Propietario,Representacion proporcional,1962-04-22,Ciudad de Mexico,Circunscripcion:4,SI,PT,Derecho,,,,
175,hectoryuneslanda,hyl_veracruz,hectoryuneslanda_veracruz,Hector Yunes Landa,Maestría,Diputado Propietario,Representacion proporcional,1958-10-27,Veracruz,Circunscripcion:3,SI,PRI,,,,,
176,heribertomarceloaguilarcastillo,hmac_sonora,heribertomarceloaguilarcastillo_sonora,Heriberto Marcelo Aguilar Castillo,Licenciatura,Diputado Propietario,Mayoria Relativa,1975-02-12,Sonora,Distrito:4,SI,MORENA,Ingeniería,,,,
177,hernansalinaswolberg,hsw_nuevo leon,hernansalinaswolberg_nuevo leon,Hernan Salinas Wolberg,Maestría,Diputado Propietario,Mayoria Relativa,1982-04-01,Nuevo Leon,Distrito:1,SI,PAN,Ciencias políticas y sociales,,,,
178,hildapatriciaorteganajera,hpon_durango,hildapatriciaorteganajera_durango,Hilda Patricia Ortega Najera,Licenciatura,Diputada Propietario,Mayoria Relativa,1966-08-10,Durango,Distrito:4,SI,MORENA,Ciencias de la educación,,,,
179,hildelisagonzalezmorales,hgm_sonora,hildelisagonzalezmorales_sonora,Hildelisa Gonzalez Morales,Profesor Normalista,Diputada Propietario,Mayoria Relativa,1956-12-22,Sonora,Distrito:7,SI,PT,,,,,
180,hirepanmayamartinez,hmm_michoacan,hirepanmayamartinez_michoacan,Hirepan Maya Martinez,Secundaria,Diputado Propietario,Representacion proporcional,1977-12-02,Michoacan,Circunscripcion:5,SI,MORENA,,,,,
181,horacioduarteolivares,hdo_mexico,horacioduarteolivares_mexico,Horacio Duarte Olivares,Maestría,Diputado Propietario,Representacion proporcional,1971-11-05,Mexico,Circunscripcion:5,NO,MORENA,,,,,
182,hortensiamarialuisanoroñaquezada,hmlnq_jalisco,hortensiamarialuisanoronaquezada_jalisco,Hortensia Maria Luisa Noroña Quezada,Pasante/Licenciatura trunca,Diputada Propietario,Representacion proporcional,1976-10-19,Jalisco,Circunscripcion:1,SI,PRI,,,,,
183,hugorafaelruizlustre,hrrl_hidalgo,hugorafaelruizlustre_hidalgo,Hugo Rafael Ruiz Lustre,Maestría,Diputado Propietario,Representacion proporcional,1965-08-22,Hidalgo,Circunscripcion:5,SI,MORENA,Otra,,,,
184,humbertopedreromoreno,hpm_chiapas,humbertopedreromoreno_chiapas,Humberto Pedrero Moreno,Licenciatura,Diputado Propietario,Mayoria Relativa,1986-05-26,Chiapas,Distrito:2,NO,MORENA,,,,,
185,idaliareyesmiguel,irm_guerrero,idaliareyesmiguel_guerrero,Idalia Reyes Miguel,Maestría,Diputada Propietario,Representacion proporcional,1976-08-15,Guerrero,Circunscripcion:4,SI,MORENA,Ciencias de la educación,,,,
186,ignaciobenjamincamposequihua,ibce_michoacan,ignaciobenjamincamposequihua_michoacan,Ignacio Benjamin Campos Equihua,Maestría,Diputado Propietario,Mayoria Relativa,1973-05-12,Michoacan,Distrito:9,SI,MORENA,,,,,
187,indiravizcainosilva,ivs_colima,indiravizcainosilva_colima,Indira Vizcaino Silva,Licenciatura,Diputada Propietario,Mayoria Relativa,1987-01-14,Colima,Distrito:2,NO,MORENA,,,,,
188,inesparrajuarez,ipj_puebla,inesparrajuarez_puebla,Ines Parra Juarez,Licenciatura,Diputada Propietario,Mayoria Relativa,1978-04-20,Puebla,Distrito:4,SI,MORENA,Ciencias de la educación,,,,
189,iransantiagomanuel,ism_oaxaca,iransantiagomanuel_oaxaca,Iran Santiago Manuel,Maestría,Diputado Propietario,Representacion proporcional,1985-03-04,Oaxaca,Circunscripcion:3,SI,MORENA,Ciencias de la educación,,,,
190,irasemadelcarmenbuenfildiaz,idcbd_campeche,irasemadelcarmenbuenfildiaz_campeche,Irasema del Carmen Buenfil Diaz,Licenciatura,Diputada Propietario,Mayoria Relativa,1958-08-22,Campeche,Distrito:2,SI,PES,Ciencias de la educación,,,,
191,irineomolinaespinoza,ime_oaxaca,irineomolinaespinoza_oaxaca,Irineo Molina Espinoza,Licenciatura,Diputado Propietario,Mayoria Relativa,1976-06-13,Oaxaca,Distrito:1,NO,MORENA,Otra,,,,
192,irmajuancarlos,ijc_oaxaca,irmajuancarlos_oaxaca,Irma Juan Carlos,Maestría,Diputada Propietario,Mayoria Relativa,1977-07-19,Oaxaca,Distrito:2,SI,MORENA,Otra,,,,
193,irmamariateranvillalobos,imtv_sonora,irmamariateranvillalobos_sonora,Irma Maria Teran Villalobos,Licenciatura,Diputada Propietario,Representacion proporcional,1985-11-12,Sonora,Circunscripcion:1,SI,PES,Comunicación,,,,
194,isabelmargaritaguerravillarreal,imgv_nuevo leon,isabelmargaritaguerravillarreal_nuevo leon,Isabel Margarita Guerra Villarreal,Maestría,Diputada Propietario,Representacion proporcional,1975-09-22,Nuevo Leon,Circunscripcion:2,SI,PAN,Ciencias de la educación,,,,
195,isaiasgonzalezcuevas,igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Isaias Gonzalez Cuevas,Secundaria,Diputado Propietario,Representacion proporcional,1940-07-06,Baja California Sur,Circunscripcion:1,NO,PRI,,,,,
196,ismaelalfredohernandezderas,iahd_durango,ismaelalfredohernandezderas_durango,Ismael Alfredo Hernandez Deras,Licenciatura,Diputado Propietario,Representacion proporcional,1964-02-20,Durango,Circunscripcion:1,SI,PRI,Administración y contaduría,,,,
197,itzcoatltonatiuhbravopadilla,itbp_jalisco,itzcoatltonatiuhbravopadilla_jalisco,Itzcoatl Tonatiuh Bravo Padilla,Doctorado,Diputado Propietario,Representacion proporcional,1960-02-07,Jalisco,Circunscripcion:1,SI,MC,,,,,
198,ivanarturopereznegron,iapnr_michoacan,ivanarturopereznegronruiz_michoacan,Ivan Arturo Perez Negron ,Doctorado,Diputado Propietario,Mayoria Relativa,1974-07-20,Michoacan,Distrito:10,NO,MORENA,,,,,
199,ivanarturorodriguezrivera,iarr_mexico,ivanarturorodriguezrivera_mexico,Ivan Arturo Rodriguez Rivera,Doctorado,Diputado Propietario,Representacion proporcional,1974-05-02,Mexico,Circunscripcion:5,SI,PAN,,,,,
200,ivonnelilianaalvarezgarcia,ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Ivonne Liliana Alvarez Garcia,Licenciatura,Diputada Propietario,Representacion proporcional,1978-04-25,Nuevo Leon,Circunscripcion:2,NO,PRI,,,,,
201,jacobodavidchejaalfaro,jdca_mexico,jacobodavidchejaalfaro_mexico,Jacobo David Cheja Alfaro,Licenciatura,Diputado Propietario,Representacion proporcional,1965-10-08,Mexico,Circunscripcion:5,SI,MC,Administración y contaduría,,,,
202,jacquelinamartinezjuarez,jmj_zacatecas,jacquelinamartinezjuarez_zacatecas,Jacquelina Martinez Juarez,Licenciatura,Diputada Propietario,Representacion proporcional,1981-05-26,Zacatecas,Circunscripcion:2,SI,PAN,Comunicación,,,,
203,jaimehumbertoperezbernabe,jhpb_veracruz,jaimehumbertoperezbernabe_veracruz,Jaime Humberto Perez Bernabe,Licenciatura,Diputado Propietario,Mayoria Relativa,1973-04-15,Veracruz,Distrito:6,SI,MORENA,Ingeniería,,,,
204,janetmelaniemurillochavez,jmmc_guanajuato,janetmelaniemurillochavez_guanajuato,Janet Melanie Murillo Chavez,Licenciatura,Diputada Propietario,Mayoria Relativa,1981-08-02,Guanajuato,Distrito:9,NO,PAN,Derecho,,,,
205,jannettellezinfante,jti_hidalgo,jannettellezinfante_hidalgo,Jannet Tellez Infante,Licenciatura,Diputada Propietario,Mayoria Relativa,1979-01-08,Hidalgo,Distrito:7,SI,MORENA,Ciencias de la educación,,,,
206,javierarielhidalgoponce,jahp_ciudad de mexico,javierarielhidalgoponce_ciudad de mexico,Javier Ariel Hidalgo Ponce,Licenciatura,Diputado Propietario,Mayoria Relativa,1960-05-14,Ciudad de Mexico,Distrito:10,SI,MORENA,Arquitectura y diseño,,,,
207,javierjuliancastañedapomposo,jjcp_baja california,javierjuliancastanedapomposo_baja california,Javier Julian Castañeda Pomposo,Licenciatura,Diputado Propietario,Mayoria Relativa,1967-10-07,Baja California,Distrito:6,SI,MORENA,,,,,
208,javiermanzanosalazar,jms_guerrero,javiermanzanosalazar_guerrero,Javier Manzano Salazar,Profesor Normalista,Diputado Propietario,Mayoria Relativa,1963-06-05,Guerrero,Distrito:5,SI,MORENA,,,,,
209,javiersalinasnarvaez,jsn_mexico,javiersalinasnarvaez_mexico,Javier Salinas Narvaez,Doctorado,Diputado Propietario,Representacion proporcional,1965-11-22,Mexico,Circunscripcion:5,NO,MORENA,Ciencias políticas y sociales,,,,
210,jesuscarlosvidalpeniche,jcvp_yucatan,jesuscarlosvidalpeniche_yucatan,Jesus Carlos Vidal Peniche,Licenciatura,Diputado Propietario,Mayoria Relativa,1976-06-16,Yucatan,Distrito:1,SI,PVEM,Ciencias de la educación,,,,
211,jesusfernandogarciahernandez,jfgh_sinaloa,jesusfernandogarciahernandez_sinaloa,Jesus Fernando Garcia Hernandez,Maestría,Diputado Propietario,Mayoria Relativa,1958-05-30,Sinaloa,Distrito:3,SI,PT,Ciencias de la educación,,,,
212,jesusguzmanaviles,jga_veracruz,jesusguzmanaviles_veracruz,Jesus Guzman Aviles,Licenciatura,Diputado Propietario,Mayoria Relativa,1961-12-25,Veracruz,Distrito:2,NO,PAN,Ingeniería,,,,
213,jesussalvadorminormora,jsmm_baja california,jesussalvadorminormora_baja california,Jesus Salvador Minor Mora,Licenciatura,Diputado Propietario,Mayoria Relativa,1951-06-01,Baja California,Distrito:1,SI,MORENA,Administración y contaduría,,,,
214,jesussergioalcantaranuñez,jsan_mexico,jesussergioalcantaranunez_mexico,Jesus Sergio Alcantara Nuñez,Doctorado,Diputado Propietario,Representacion proporcional,1965-06-21,Mexico,Circunscripcion:5,SI,PRI,Ciencias políticas y sociales,,,,
215,jesusdelosangelespoolmoo,jdlapm_quintana roo,jesusdelosangelespoolmoo_quintana roo,Jesus de los Angeles Pool Moo,Licenciatura,Diputado Propietario,Mayoria Relativa,1969-12-22,Quintana Roo,Distrito:4,NO,PRD,,,,,
216,jorgealcibiadesgarcialara,jagl_baja california,jorgealcibiadesgarcialara_baja california,Jorge Alcibiades Garcia Lara,Licenciatura,Diputado Propietario,Representacion proporcional,1969-08-05,Baja California,Circunscripcion:1,SI,MC,Derecho,,,,
217,jorgearturoarguellesvictorero,jaav_morelos,jorgearturoarguellesvictorero_morelos,Jorge Arturo Arguelles Victorero,Licenciatura,Diputado Propietario,Mayoria Relativa,1981-05-13,Morelos,Distrito:4,SI,PES,Derecho,,,,
218,jorgearturoespadasgalvan,jaeg_guanajuato,jorgearturoespadasgalvan_guanajuato,Jorge Arturo Espadas Galvan,Maestría,Diputado Propietario,Mayoria Relativa,1975-09-08,Guanajuato,Distrito:11,SI,PAN,Derecho,,,,
219,jorgeemiliogonzalezmartinez,jegm_quintana roo,jorgeemiliogonzalezmartinez_quintana roo,Jorge Emilio Gonzalez Martinez,Licenciatura,Diputado Propietario,Representacion proporcional,1972-04-16,Quintana Roo,Circunscripcion:3,SI,PVEM,,,,,
220,jorgeeugeniorussosalido,jers_sonora,jorgeeugeniorussosalido_sonora,Jorge Eugenio Russo Salido,Licenciatura,Diputado Propietario,Representacion proporcional,1969-12-19,Sonora,Circunscripcion:1,SI,MC,,,,,
221,jorgeluismontesnieves,jlmn_queretaro,jorgeluismontesnieves_queretaro,Jorge Luis Montes Nieves,Licenciatura,Diputado Propietario,Mayoria Relativa,1981-01-14,Queretaro,Distrito:2,SI,MORENA,Psicología,,,,
222,jorgeluispreciadorodriguez,jlpr_colima,jorgeluispreciadorodriguez_colima,Jorge Luis Preciado Rodriguez,Licenciatura,Diputado Propietario,Representacion proporcional,1972-08-09,Colima,Circunscripcion:5,SI,PAN,Derecho,,,,
223,jorgeromeroherrera,jrh_ciudad de mexico,jorgeromeroherrera_ciudad de mexico,Jorge Romero Herrera,Licenciatura,Diputado Propietario,Representacion proporcional,1979-01-03,Ciudad de Mexico,Circunscripcion:4,SI,PAN,Derecho,,,,
