CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
BRS,Salvador Becerra Rodriguez,Senador Propietario,PAN,20/01/1946, Jalisco ,Mayoría Relativa, Colima ,Doctorado,Agropecuaria y zootecnia,LVIII,28/08/2000,31/08/2003
CSS,Salvador Castañeda Salcedo,Diputado Propietario,PRI,20/11/1957, Jalisco ,Mayoría Relativa, México Distrito: 32 (Valle de Chalco Solidaridad) ,Pasante/Licenciatura trunca,Ciencias de la educación,LVIII,28/08/2000,31/08/2003
CGS,Salvador Cosio Gaona,Diputado Propietario,PRI,26/01/1961, Jalisco ,Mayoría Relativa, Jalisco Distrito: 5 (Puerto Vallarta) ,Doctorado,Derecho,LVIII,28/08/2000,31/08/2003
LOS,Salvador Lopez Orduña,Diputado Propietario,PAN,27/03/1953, Michoacán ,Mayoría Relativa, Michoacán Distrito: 10 (Morelia) ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003
RDS,Salvador Rocha Diaz,Diputado Propietario,PRI,21/12/1937, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Primera ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
ASS,Samuel Aguilar Solis,Diputado Propietario,PRI,17/06/1956, Durango ,Representación Proporcional, Durango Circunscripción: Segunda ,Licenciatura,Económico-financiera,LVIII,28/08/2000,31/08/2003
YFS,Samuel Yoselevitz Frausto,Diputado Propietario,PAN,28/08/1938, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 12 (Cuauhtémoc) ,Licenciatura,Ingeniería,LVIII,28/08/2000,31/08/2003
GGS,Santiago Guerrero Gutierrez,Diputado Propietario,PRI,07/05/1949, Guerrero ,Mayoría Relativa, Guerrero Distrito: 8 (Ometepec) ,Licenciatura,Económico-financiera,LVIII,28/08/2000,31/08/2003
LHS,Santiago Lopez Hernandez,Diputado Propietario,PRI,14/10/1957, Chiapas ,Mayoría Relativa, Chiapas Distrito: 3 (Ocosingo) ,Profesor Normalista,Ciencias de la educación,LVIII,28/08/2000,31/08/2003
FCSG,Sara Guadalupe Figueroa Canedo,Diputada Propietario,PVEM,17/02/1956, ,Mayoría Relativa, Distrito Federal Distrito: 17 (Cuajimalpa de Morelos) ,Licenciatura,Otra,LVIII,28/08/2000,31/08/2003
CCSI,Sara Isabel Castellanos Cortes,Senadora Propietario,PVEM,07/02/1946, Distrito Federal ,Representación Proporcional, Distrito Federal ,Técnico,,LVIII,28/08/2000,31/08/2003
RÁS,Serafin Rios Alvarez,Senador Propietario,PRD,20/07/1959, Michoacán ,Mayoría Relativa, Michoacán ,,,LVIII,28/08/2000,31/08/2003
ASS,Sergio Acosta Salazar,Diputado Propietario,PRD,10/05/1957, Distrito Federal ,Mayoría Relativa, Michoacán Distrito: 8 (Morelia) ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003
JRSCA,Sergio Cesar Alejandro Jauregui Robles,Senador Propietario,PAN,06/10/1961, Coahuila ,Representación Proporcional, Chihuahua ,Maestría,Derecho,LVIII,28/08/2000,31/08/2003
GSS,Sergio Garcia Sepulveda,Diputado Propietario,PAN,03/03/1963, ,Mayoría Relativa, Jalisco Distrito: 15 (La Barca) ,Pasante/Licenciatura trunca,Agropecuaria y zootecnia,LVIII,28/08/2000,31/08/2003
MAS,Sergio Maldonado Aguilar,Diputado Propietario,PRI,17/02/1948, Guerrero ,Mayoría Relativa, Guerrero Distrito: 5 (Tlapa de Comonfort) ,Licenciatura,Económico-financiera,LVIII,28/08/2000,31/08/2003
LMS,Silverio Lopez Magallanes,Diputado Propietario,PRI,24/07/1957, Zacatecas ,Mayoría Relativa, Zacatecas Distrito: 5 (Juchipila) ,Maestría,Agropecuaria y zootecnia,LVIII,28/08/2000,31/08/2003
FVSE,Silvestre Enrique Faya Viesca,Diputado Suplente,PAN,15/07/1952, Coahuila ,Mayoría Relativa, Coahuila Distrito: 6 (Torreón) ,Licenciatura,Económico-financiera,LVIII,28/08/2000,31/08/2003
LESA,Silvia America Lopez Escoffie,Diputada Propietario,PAN,21/03/1955, Yucatán ,Mayoría Relativa, Yucatán Distrito: 3 (Mérida) ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
HES,Silvia Hernandez Enriquez,Senadora Propietario,PRI,12/09/1948, Querétaro ,Primera Minoría, Querétaro ,Maestría,Ciencias políticas y sociales,LVIII,28/08/2000,31/08/2003
ÁBS,Silvia Alvarez Bruneliere,Diputada Propietario,PAN,05/03/1941, Zacatecas ,Representación Proporcional, Guanajuato Circunscripción: Primera ,Licenciatura,Ciencias,LVIII,28/08/2000,31/08/2003
VMSI,Simon Ivan Villar Martinez,Diputado Propietario,PRI,24/12/1947, ,Mayoría Relativa, Tamaulipas Distrito: 4 (Matamoros) ,Licenciatura,Ingeniería,LVIII,28/08/2000,31/08/2003
SPS,Susana Stephenson Perez,Senadora Suplente,PAN,26/05/1948, Veracruz ,Mayoría Relativa, Guanajuato ,Técnico,Administración y contaduría,LVIII,28/08/2000,31/08/2003
SCTR,Teodoro Roman Solano Camacho,Diputado Suplente,PRI,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 6 (Heroica Ciudad de Tlaxiaco) ,Licenciatura,Ciencias de la salud,LVIII,28/08/2000,31/08/2003
COT,Tomas Coronado Olmos,Diputado Propietario,PAN,09/12/1960, ,Mayoría Relativa, Jalisco Distrito: 9 (Guadalajara) ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
VVT,Tomas Vazquez Vigil,Senador Propietario,PRI,30/08/1944, Jalisco ,Representación Proporcional, Jalisco ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
ROUE,Ulises Ernesto Ruiz Ortiz,Senador Propietario,PRI,09/04/1958, Oaxaca ,Mayoría Relativa, Oaxaca ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
EAUk,Uuc-kib Espadas Ancona,Diputado Propietario,PRD,27/11/1963, Yucatán ,Representación Proporcional, Campeche Circunscripción: Tercera ,Maestría,Humanidades,LVIII,28/08/2000,31/08/2003
RRV,Valdemar Romero Reyna,Diputado Propietario,PAN,04/01/1937, Michoacán ,Mayoría Relativa, México Distrito: 16 (Tlalnepantla de Baz) ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003
SPV,Veronica Sada Perez,Diputada Suplente,PAN,31/08/1963, Nuevo León ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003
VRV,Veronica Velasco Rodriguez,Senadora Propietario,PVEM,23/01/1972, Tamaulipas ,Representación Proporcional, Distrito Federal ,Licenciatura,Arquitectura y diseño,LVIII,28/08/2000,31/08/2003
PCV,Vicente Pacheco Castañeda,Diputado Propietario,PAN,24/01/1961, ,Mayoría Relativa, Sonora Distrito: 3 (Hermosillo) ,Maestría,Ciencias políticas y sociales,LVIII,28/08/2000,31/08/2003
LMVRS,Victoria Ruth Sonia Lopez Macias,Diputada Propietario,PAN,05/08/1949, Puebla ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Técnico,Administración y contaduría,LVIII,28/08/2000,31/08/2003
CVVH,Victor Hugo Cirigo Vasquez,Diputado Propietario,PRD,08/04/1953, Oaxaca ,Mayoría Relativa, Distrito Federal Distrito: 25 (Iztapalapa) ,Licenciatura,Psicología,LVIII,28/08/2000,31/08/2003
SSVH,Victor Hugo Sondon Saavedra,Diputado Propietario,PAN,17/03/1967, México ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
GCVM,Victor Manuel Gandarilla Carrasco,Diputado Propietario,PRI,20/11/1944, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 7 (Culiacán) ,Maestría,Derecho,LVIII,28/08/2000,31/08/2003
MLVM,Victor Manuel Mendez Lanz,Senador Propietario,PRI,21/02/1952, Campeche ,Mayoría Relativa, Campeche ,Maestría,Administración y contaduría,LVIII,28/08/2000,31/08/2003
THVM,Victor Manuel Torres Herrera,Senador Propietario,PAN,12/02/1958, Veracruz ,Mayoría Relativa, Colima ,Licenciatura,Ingeniería,LVIII,28/08/2000,31/08/2003
IGVR,Victor Roberto Infante Gonzalez,Diputado Propietario,PRI,09/11/1959, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Maestría,Ciencias políticas y sociales,LVIII,28/08/2000,31/08/2003
ASW,Wadi Amar Shabshab,Senador Propietario,PAN,26/02/1947, Quintana Roo ,Primera Minoría, Quintana Roo ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003
GHYE,Yolanda Eugenia Gonzalez Hernandez,Senadora Propietario,PRI,01/01/1956, San Luis Potosí ,Primera Minoría, San Luis Potosí ,Pasante/Licenciatura trunca,Administración y contaduría,LVIII,28/08/2000,31/08/2003
AFZ,Zeferino Antunes Flores,Diputado Suplente,PRD,01/01/1900, ,Mayoría Relativa, México Distrito: 31 (Nezahualcóyotl) ,,,LVIII,28/08/2000,31/08/2003
BHZdlÁ,Zinthia de los Angeles Benavides Hernandez,Diputada Suplente,PAN,31/12/1969, ,Mayoría Relativa, Nuevo León Distrito: 6 (Monterrey) ,Pasante/Licenciatura trunca,Ciencias de la educación,LVIII,28/08/2000,31/08/2003
MGÁA,Angel Artemio Meixueiro Gonzalez,Diputado Suplente,PRI,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 9 (Zimatlán de Álvarez) ,Licenciatura,Administración y contaduría,LVIII,28/08/2000,31/08/2003
HBÁE,Angel Enrique Herrera y Bruquetas,Diputado Propietario,PRD,02/10/1938, ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Licenciatura,Ciencias políticas y sociales,LVIII,28/08/2000,31/08/2003
DRMÓA,Oscar Alfonso Del Real Muñoz,Diputado Propietario,PRI,04/03/1948, Zacatecas ,Mayoría Relativa, Zacatecas Distrito: 2 (Sombrerete) ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
ACÓ,Oscar Alvarado Cook,Diputado Propietario,PRI,07/11/1944, Chiapas ,Mayoría Relativa, Chiapas Distrito: 11 (Huixtla) ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
CZÓ,Oscar Canton Zetina,Senador Propietario,PRI,01/08/1953, Tabasco ,Mayoría Relativa, Tabasco ,Licenciatura,Comunicación,LVIII,28/08/2000,31/08/2003
LGÓ,Oscar Luebbert Gutierrez,Senador Propietario,PRI,24/12/1956, Tamaulipas ,Mayoría Relativa, Tamaulipas ,Licenciatura,Económico-financiera,LVIII,28/08/2000,31/08/2003
OPÓ,Oscar Ochoa Patron,Diputado Propietario,PAN,13/12/1945, ,Representación Proporcional, Sonora Circunscripción: Primera ,Maestría,Ciencias de la educación,LVIII,28/08/2000,31/08/2003
MDÓR,Oscar Romeo Maldonado Dominguez,Diputado Propietario,PAN,05/02/1960, Guanajuato ,Mayoría Relativa, Coahuila Distrito: 3 (Monclova) ,Licenciatura,Derecho,LVIII,28/08/2000,31/08/2003
GCA,Abdallan Guzman Cruz,Diputado Propietario,PRD,18/03/1954, Michoacán ,Mayoría Relativa, Michoacán Distrito: 7 (Zacapu) ,,,LIX,29/08/2003,31/08/2006
EPA,Abel Echeverria Pineda,Diputado Propietario,PRI,26/08/1954, Guerrero ,Mayoría Relativa, Guerrero Distrito: 1 (Coyuca de Catalán) ,,,LIX,29/08/2003,31/08/2006
BEA,Abraham Bagdadi Estrella,Diputado Propietario,PRD,29/03/1963, Campeche ,Representación Proporcional, N/A ,Técnico,,LIX,29/08/2003,31/08/2006
JCAC,Addy Cecilia Joaquin Coldwell,Senadora Propietario,PAN,24/08/1939, Quintana Roo ,Mayoría Relativa, Quintana Roo ,Licenciatura,Otra,LIX,29/08/2003,31/08/2006
GLA,Addy Garcia Lopez,Diputada Propietario,PRI,10/11/1958, Tabasco ,Representación Proporcional, Tabasco Circunscripción: Tercera ,,,LIX,29/08/2003,31/08/2006
GCA,Adriana Gonzalez Carrillo,Diputada Propietario,PAN,16/03/1975, México ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
AQA,Adrian Alanis Quiñones,Senador Propietario,PRI,05/03/1949, Durango ,Mayoría Relativa, Durango ,Licenciatura,Arquitectura y diseño,LIX,29/08/2003,31/08/2006
CRA,Adrian Chavez Ruiz,Diputado Propietario,PRD,27/08/1976, Distrito Federal ,Representación Proporcional, N/A ,Licenciatura,Económico-financiera,LIX,29/08/2003,31/08/2006
VGA,Adrian Villagomez Garcia,Diputado Propietario,PRI,02/01/1952, ,Mayoría Relativa, Nuevo León Distrito: 9 (Linares) ,,,LIX,29/08/2003,31/08/2006
IHAVH,Adrian Victor Hugo Islas Hernandez,Diputado Propietario,PRI,08/09/1951, Puebla ,Mayoría Relativa, Puebla Distrito: 5 (San Martín Texmelucan) ,,,LIX,29/08/2003,31/08/2006
ARAM,Agustin Miguel Alonso Raya,Diputado Propietario,PRD,28/08/1954, Guanajuato ,Representación Proporcional, N/A ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
RFA,Agustin Rodriguez Fuentes,Diputado Propietario,PRD,28/08/1950, Oaxaca ,Mayoría Relativa, Distrito Federal Distrito: 26 (Magdalena Contreras) ,,,LIX,29/08/2003,31/08/2006
MMAM,Alberto Miguel Martinez Mireles,Senador Propietario,PAN,29/09/1950, San Luis Potosí ,Mayoría Relativa, San Luis Potosí ,Licenciatura,Económico-financiera,LIX,29/08/2003,31/08/2006
MGAU,Alberto Urcino Mendez Galvez,Diputado Propietario,PAN,09/11/1961, ,Mayoría Relativa, Veracruz Distrito: 13 (Huatusco) ,,,LIX,29/08/2003,31/08/2006
MHAM,Aldo Mauricio Martinez Hernandez,Diputado Suplente,PRI,16/03/1980, ,Mayoría Relativa, Coahuila Distrito: 7 (Saltillo) ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
MSA,Alejandra Mendez Salorio,Diputada Propietario,PVEM,12/06/1982, ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
GYA,Alejandro Gonzalez Yañez,Diputado Propietario,PT,09/09/1956, Distrito Federal ,Representación Proporcional, Durango Circunscripción: Segunda ,,,LIX,29/08/2003,31/08/2006
GGA,Alejandro Gutierrez Gutierrez,Senador Propietario,PRI,16/11/1956, Coahuila ,Primera Minoría, Coahuila ,,,LIX,29/08/2003,31/08/2006
MHAI,Alejandro Ismael Murat Hinojosa,Diputado Suplente,PRI,04/08/1975, México ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Maestría,Ciencias políticas y sociales,LIX,29/08/2003,31/08/2006
SVA,Alejandro Saldaña Villaseñor,Diputado Propietario,PRI,28/03/1950, ,Mayoría Relativa, Michoacán Distrito: 1 (La Piedad) ,,,LIX,29/08/2003,31/08/2006
GRA,Alfonso Gonzalez Ruiz,Diputado Propietario,Ind.,21/09/1959, ,Mayoría Relativa, Nuevo León Distrito: 7 (Monterrey) ,,,LIX,29/08/2003,31/08/2006
NDAJ,Alfonso Juventino Nava Diaz,Diputado Propietario,PRI,25/01/1952, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 1 (Matehuala) ,Maestría,Administración y contaduría,LIX,29/08/2003,31/08/2006
MMA,Alfonso Moreno Moran,Diputado Propietario,PAN,21/01/1950, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 1 (Dolores Hidalgo) ,,,LIX,29/08/2003,31/08/2006
RCA,Alfonso Ramirez Cuellar,Diputado Propietario,PRD,14/06/1959, Zacatecas ,Mayoría Relativa, Distrito Federal Distrito: 11 (Venustiano Carranza) ,Licenciatura,Humanidades,LIX,29/08/2003,31/08/2006
ROA,Alfonso Rodriguez Ochoa,Diputado Propietario,PRI,30/01/1949, ,Mayoría Relativa, Nuevo León Distrito: 11 (Guadalupe) ,,,LIX,29/08/2003,31/08/2006
BNA,Alfredo Bejos Nicolas,Diputado Suplente,PRI,09/04/1960, ,Mayoría Relativa, Hidalgo Distrito: 6 (Pachuca de Soto) ,Licenciatura,Ciencias de la salud,LIX,29/08/2003,31/08/2006
FMA,Alfredo Fernandez Moreno,Diputado Propietario,PAN,30/01/1947, San Luis Potosí ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
GSA,Alfredo Gomez Sanchez,Diputado Propietario,PRI,07/03/1968, México ,Mayoría Relativa, México Distrito: 35 (Tenancingo de Degollado) ,,,LIX,29/08/2003,31/08/2006
RVAM,Alfredo Martin Reyes Velazquez,Senador Propietario,PAN,15/12/1953, Guanajuato ,Mayoría Relativa, Aguascalientes ,Licenciatura,Ingeniería,LIX,29/08/2003,31/08/2006
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,,,LIX,29/08/2003,31/08/2006
JJAA,Alonso Adrian Juarez Jimenez,Diputado Suplente,PAN,06/02/1978, ,Mayoría Relativa, México Distrito: 16 (Tlalnepantla de Baz) ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
MGAB,Ana Bricia Muro Gonzalez,Senadora Suplente,PRI,13/09/1963, Durango ,Mayoría Relativa, Durango ,Maestría,Psicología,LIX,29/08/2003,31/08/2006
GQAL,Ana Lilia Guillen Quiroz,Diputada Propietario,PRD,05/02/1955, Michoacán ,Mayoría Relativa, Michoacán Distrito: 8 (Morelia) ,,,LIX,29/08/2003,31/08/2006
JAAL,Ana Luz Juarez Alejo,Diputada Suplente,PAN,01/01/1900, ,Mayoría Relativa, San Luis Potosí Distrito: 6 (San Luis Potosí) ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
DlPGA,Angelica De la Peña Gomez,Diputada Propietario,PRD,30/05/1954, Jalisco ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
GTA,Antonio Garcia Torres,Senador Propietario,PRI,11/10/1943, Michoacán ,Primera Minoría, Michoacán ,,,LIX,29/08/2003,31/08/2006
MHA,Antonio Mejia Haro,Diputado Propietario,PRD,10/06/1957, Zacatecas ,Mayoría Relativa, Zacatecas Distrito: 5 (Juchipila) ,,,LIX,29/08/2003,31/08/2006
MDlPA,Antonio Morales De la Peña,Diputado Propietario,PAN,01/11/1971, Colima ,Mayoría Relativa, Colima Distrito: 1 (Colima) ,,,LIX,29/08/2003,31/08/2006
SSA,Antonio Soto Sanchez,Senador Propietario,PRD,12/06/1964, Michoacán ,Representación Proporcional, Michoacán ,Maestría,Ciencias políticas y sociales,LIX,29/08/2003,31/08/2006
PGA,Anibal Peralta Galicia,Diputado Suplente,PRI,13/07/1947, Veracruz ,Representación Proporcional, Campeche Circunscripción: Tercera ,Licenciatura,Administración y contaduría,LIX,29/08/2003,31/08/2006
VRA,Araceli Velazquez Ramirez,Diputada Suplente,PRI,04/12/1961, Hidalgo ,Mayoría Relativa, Hidalgo Distrito: 5 (Tula de Allende) ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
EJA,Aracely Escalante Jasso,Senadora Propietario,PRI,17/07/1943, Campeche ,Mayoría Relativa, Campeche ,Secundaria,,LIX,29/08/2003,31/08/2006
MTA,Areli Madrid Tovilla,Senadora Propietario,PRI,18/02/1952, Chiapas ,Mayoría Relativa, Chiapas ,Doctorado,Derecho,LIX,29/08/2003,31/08/2006
CWAB,Ariel Baltazar Cordova Wilson,Diputado Suplente,PRI,01/01/1900, ,Representación Proporcional, Campeche Circunscripción: Tercera ,Maestría,Ciencias políticas y sociales,LIX,29/08/2003,31/08/2006
LCA,Armando Leyson Castro,Diputado Propietario,PRI,28/09/1956, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 4 (Guasave) ,,,LIX,29/08/2003,31/08/2006
NCA,Armando Neyra Chavez,Diputado Propietario,PRI,18/02/1937, México ,Representación Proporcional, México Circunscripción: Quinta ,,,LIX,29/08/2003,31/08/2006
RHA,Armando Rangel Hernandez,Diputado Propietario,PAN,20/10/1965, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 2 (San Miguel de Allende) ,,,LIX,29/08/2003,31/08/2006
NGA,Arturo Nahle Garcia,Diputado Propietario,PRD,29/08/1961, Zacatecas ,Mayoría Relativa, Zacatecas Distrito: 2 (Sombrerete) ,,,LIX,29/08/2003,31/08/2006
RAA,Arturo Robles Aguilar,Diputado Propietario,PRI,15/12/1956, Aguascalientes ,Mayoría Relativa, Aguascalientes Distrito: 1 (Jesús María) ,,,LIX,29/08/2003,31/08/2006
BZBA,Baruch Alberto Barrera Zurita,Diputado Propietario,PAN,24/08/1973, ,Representación Proporcional, N/A ,Licenciatura,Ingeniería,LIX,29/08/2003,31/08/2006
MMB,Beatriz Mojica Morga,Diputada Propietario,PRD,01/01/1900, Guerrero ,Representación Proporcional, Guerrero Circunscripción: Quinta ,,,LIX,29/08/2003,31/08/2006
HSBI,Belizario Iram Herrera Solis,Diputado Propietario,PRI,12/07/1962, Chiapas ,Mayoría Relativa, Chiapas Distrito: 10 (Motozintla de Mendoza) ,,,LIX,29/08/2003,31/08/2006
CMB,Benito Chavez Montenegro,Diputado Suplente,PRI,02/07/1947, ,Mayoría Relativa, Jalisco Distrito: 1 (Colotlán) ,Licenciatura,Ciencias de la educación,LIX,29/08/2003,31/08/2006
HBBF,Benjamin Fernando Hernandez Bustamante,Diputado Suplente,PRI,30/03/1954, Oaxaca ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
GSB,Benjamin Gallegos Soto,Senador Propietario,PAN,22/04/1960, Aguascalientes ,Mayoría Relativa, Aguascalientes ,Técnico,Otra,LIX,29/08/2003,31/08/2006
SMB,Benjamin Sagahon Medina,Diputado Propietario,Ind.,14/01/1960, ,Mayoría Relativa, San Luis Potosí Distrito: 7 (Tamazunchale) ,,,LIX,29/08/2003,31/08/2006
RIB,Bernardino Ramos Iturbide,Diputado Propietario,PRD,20/05/1963, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 24 (Coyoacán) ,,,LIX,29/08/2003,31/08/2006
LCB,Bernardo Loera Carrillo,Diputado Propietario,PAN,20/08/1971, ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
VCB,Bernardo Vega Carlos,Diputado Suplente,Ind.,25/09/1957, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 6 (Mazatlán) ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
GGBA,Blanca Amelia Gamez Gutierrez,Diputada Propietario,PAN,25/08/1950, ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
ECB,Blanca Eppen Canales,Diputada Propietario,PAN,13/04/1950, Coahuila ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
GCBE,Blanca Estela Gomez Carmona,Diputada Propietario,PRI,16/05/1962, México ,Mayoría Relativa, México Distrito: 9 (Ixtlahuaca de Rayón) ,,,LIX,29/08/2003,31/08/2006
DDBJ,Blanca Judith Diaz Delgado,Diputada Propietario,PAN,22/02/1958, Distrito Federal ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
RNC,Carla Rochin Nieto,Diputada Propietario,PAN,04/07/1966, ,Mayoría Relativa, Guanajuato Distrito: 8 (Salamanca) ,,,LIX,29/08/2003,31/08/2006
BAC,Carlos Blackaller Ayala,Diputado Propietario,PRI,03/03/1963, Jalisco ,Representación Proporcional, N/A ,Licenciatura,Ingeniería,LIX,29/08/2003,31/08/2006
CAC,Carlos Chaurand Arzate,Senador Propietario,PRI,07/07/1951, Guanajuato ,Primera Minoría, Guanajuato ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
FRC,Carlos Flores Rico,Diputado Propietario,PRI,21/10/1952, Tamaulipas ,Representación Proporcional, N/A ,Licenciatura,Ciencias políticas y sociales,LIX,29/08/2003,31/08/2006
SVCH,Carlos Hernan Silva Valdes,Diputado Propietario,PRD,28/01/1954, Michoacán ,Mayoría Relativa, Michoacán Distrito: 9 (Uruapan) ,,,LIX,29/08/2003,31/08/2006
MLC,Carlos Madrazo Limon,Senador Propietario,PAN,02/02/1952, Distrito Federal ,Mayoría Relativa, México ,Maestría,Ingeniería,LIX,29/08/2003,31/08/2006
RRCM,Carlos Manuel Rovirosa Ramirez,Diputado Propietario,PRI,19/05/1953, Tabasco ,Mayoría Relativa, Tabasco Distrito: 5 (Macuspana) ,,,LIX,29/08/2003,31/08/2006
VOCM,Carlos Manuel Villalobos Organista,Senador Suplente,PAN,01/09/1951, Jalisco ,Mayoría Relativa, Sonora ,Maestría,Económico-financiera,LIX,29/08/2003,31/08/2006
JMCM,Carlos Martin Jimenez Macias,Diputado Propietario,PRI,01/05/1950, San Luis Potosí ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
MPC,Carlos Medina Plascencia,Senador Propietario,PAN,14/08/1955, Guanajuato ,Representación Proporcional, Guanajuato ,Maestría,Administración y contaduría,LIX,29/08/2003,31/08/2006
MMC,Carlos Mireles Morales,Diputado Propietario,PRI,18/10/1937, Nuevo León ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
TRCN,Carlos Noel Tiscareño Rodriguez,Diputado Propietario,PAN,21/09/1974, Jalisco ,Mayoría Relativa, Jalisco Distrito: 14 (Guadalajara) ,,,LIX,29/08/2003,31/08/2006
PBCO,Carlos Oswaldo Pano Becerra,Diputado Propietario,PRI,29/05/1959, Chiapas ,Mayoría Relativa, Chiapas Distrito: 12 (Tapachula) ,,,LIX,29/08/2003,31/08/2006
RGC,Carlos Rojas Gutierrez,Senador Propietario,PRI,04/11/1954, Distrito Federal ,Representación Proporcional, Distrito Federal ,,,LIX,29/08/2003,31/08/2006
FSCG,Carmen Guadalupe Fonz Saenz,Diputada Propietario,PRI,22/06/1954, Distrito Federal ,Representación Proporcional, N/A ,Profesor Normalista,,LIX,29/08/2003,31/08/2006
BMCM,Clara Marina Brugada Molina,Diputada Propietario,PRD,12/08/1963, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 25 (Iztapalapa) ,Licenciatura,Económico-financiera,LIX,29/08/2003,31/08/2006
RMSC,Claudia Ruiz Massieu Salinas,Diputada Propietario,PRI,10/07/1972, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,,,LIX,29/08/2003,31/08/2006
COCO,Concepcion Oliva Castañeda Ortiz,Diputada Propietario,PRI,08/12/1952, Veracruz ,Representación Proporcional, N/A ,Licenciatura,Derecho,LIX,29/08/2003,31/08/2006
RACS,Concepcion Sofia Robles Altamirano,Diputada Suplente,PRI,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 4 (Ixtlán de Juárez) ,Profesor Normalista,Ciencias de la educación,LIX,29/08/2003,31/08/2006
CGC,Consuelo Camarena Gomez,Diputada Propietario,PAN,27/04/1943, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 9 (Irapuato) ,Maestría,Ciencias,LIX,29/08/2003,31/08/2006
MUC,Consuelo Muro Urista,Diputada Propietario,PRI,11/09/1963, ,Representación Proporcional, N/A ,Maestría,Administración y contaduría,LIX,29/08/2003,31/08/2006
PAC,Cristina Portillo Ayala,Diputada Propietario,PRD,30/12/1969, Michoacán ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
LAC,Cruz Lopez Aguilar,Diputado Propietario,PRI,03/05/1947, Nuevo León ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,,,LIX,29/08/2003,31/08/2006
OFC,Cuauhtemoc Ochoa Fernandez,Diputado Propietario,PVEM,01/12/1970, Distrito Federal ,Representación Proporcional, N/A ,,,LIX,29/08/2003,31/08/2006
